hhdi,add_line1,barangay,city,2112,province,PH,classification,remarks
110068,,MARIA FE ,ORANI,2340,province,PH,,
110069,,MARIA FE ,ORANI,2341,province,PH,,
110070,,MARIA FE ,ORANI,2342,province,PH,,
110071,,MARIA FE ,ORANI,2343,province,PH,,
110072,,MARIA FE ,ORANI,2344,province,PH,,
110073,,MARIA FE ,ORANI,2345,province,PH,,
110074,,MARIA FE ,ORANI,2346,province,PH,,
110075,,MARIA FE ,ORANI,2347,province,PH,,
110076,,MARIA FE ,ORANI,2348,province,PH,,
110077,,MARIA FE ,ORANI,2349,province,PH,,
110078,,MARIA FE ,ORANI,2350,province,PH,,
110079,,MARIA FE ,ORANI,2351,province,PH,,
110080,,MARIA FE ,ORANI,2352,province,PH,,
110081,,MARIA FE ,ORANI,2353,province,PH,,
110082,,MARIA FE ,ORANI,2354,province,PH,,
110083,,MARIA FE ,ORANI,2355,province,PH,,
110084,,MARIA FE ,ORANI,2356,province,PH,,
110085,,MARIA FE ,ORANI,2357,province,PH,,
110086,,MARIA FE ,ORANI,2358,province,PH,,
110087,,MARIA FE ,ORANI,2359,province,PH,,
110088,,MARIA FE ,ORANI,2360,province,PH,,
110089,,MARIA FE ,ORANI,2361,province,PH,,
110090,,MARIA FE ,ORANI,2362,province,PH,,
110091,,MARIA FE ,ORANI,2363,province,PH,,
110092,,MARIA FE ,ORANI,2364,province,PH,,
110093,,MARIA FE ,ORANI,2365,province,PH,,
110094,,MARIA FE ,ORANI,2366,province,PH,,
110095,,MARIA FE ,ORANI,2367,province,PH,,
110096,,MARIA FE ,ORANI,2368,province,PH,,
110097,,MARIA FE ,ORANI,2369,province,PH,,
110098,,MARIA FE ,ORANI,2370,province,PH,,
110099,,MARIA FE ,ORANI,2371,province,PH,,
110100,,MARIA FE ,ORANI,2372,province,PH,,
110101,,MARIA FE ,ORANI,2373,province,PH,,
110102,,MARIA FE ,ORANI,2374,province,PH,,
110103,,MARIA FE ,ORANI,2375,province,PH,,
110104,,MARIA FE ,ORANI,2376,province,PH,,
110105,,MARIA FE ,ORANI,2377,province,PH,,
110106,,MARIA FE ,ORANI,2378,province,PH,,
110107,,MARIA FE ,ORANI,2379,province,PH,,
110108,,MARIA FE ,ORANI,2380,province,PH,,
110109,,MARIA FE ,ORANI,2381,province,PH,,
110110,,MARIA FE ,ORANI,2382,province,PH,,
110111,,MARIA FE ,ORANI,2383,province,PH,,
110112,,MARIA FE ,ORANI,2384,province,PH,,
110113,,MARIA FE ,ORANI,2385,province,PH,,
110114,,MARIA FE ,ORANI,2386,province,PH,,
110115,,MARIA FE ,ORANI,2387,province,PH,,
110116,,MARIA FE ,ORANI,2388,province,PH,,
110117,,MARIA FE ,ORANI,2389,province,PH,,
110118,,MARIA FE ,ORANI,2390,province,PH,,
110119,,MARIA FE ,ORANI,2391,province,PH,,
110120,,MARIA FE ,ORANI,2392,province,PH,,
110121,,MARIA FE ,ORANI,2393,province,PH,,
110122,,MARIA FE ,ORANI,2394,province,PH,,
110123,,MARIA FE ,ORANI,2395,province,PH,,
110124,,MARIA FE ,ORANI,2396,province,PH,,
110125,,MARIA FE ,ORANI,2397,province,PH,,
110126,,MARIA FE ,ORANI,2398,province,PH,,
110127,,MARIA FE ,ORANI,2399,province,PH,,
110128,,MARIA FE ,ORANI,2400,province,PH,,
110129,,MARIA FE ,ORANI,2401,province,PH,,
110130,,MARIA FE ,ORANI,2402,province,PH,,
110131,,MARIA FE ,ORANI,2403,province,PH,,
110132,,MARIA FE ,ORANI,2404,province,PH,,
110133,,MARIA FE ,ORANI,2405,province,PH,,
110134,,MARIA FE ,ORANI,2406,province,PH,,
110135,,MARIA FE ,ORANI,2407,province,PH,,
120001,,MASANTOL,ORANI,2408,province,PH,,
120002,,MASANTOL,ORANI,2409,province,PH,,
120003,,MASANTOL,ORANI,2410,province,PH,,
120004,,MASANTOL,ORANI,2411,province,PH,,
120005,,MASANTOL,ORANI,2412,province,PH,,
120006,,MASANTOL,ORANI,2413,province,PH,,
120007,,MASANTOL,ORANI,2414,province,PH,,
120008,,MASANTOL,ORANI,2415,province,PH,,
120009,,MASANTOL,ORANI,2416,province,PH,,
120010,,MASANTOL,ORANI,2417,province,PH,,
120011,,MASANTOL,ORANI,2418,province,PH,,
120012,,MASANTOL,ORANI,2419,province,PH,,
120013,,MASANTOL,ORANI,2420,province,PH,,
120014,,MASANTOL,ORANI,2421,province,PH,,
120015,,MASANTOL,ORANI,2422,province,PH,,
120016,,MASANTOL,ORANI,2423,province,PH,,
120017,,MASANTOL,ORANI,2424,province,PH,,
120018,,MASANTOL,ORANI,2425,province,PH,,
120019,,MASANTOL,ORANI,2426,province,PH,,
120020,,MASANTOL,ORANI,2427,province,PH,,
120021,,MASANTOL,ORANI,2428,province,PH,,
120022,,MASANTOL,ORANI,2429,province,PH,,
120023,,MASANTOL,ORANI,2430,province,PH,,
120024,,MASANTOL,ORANI,2431,province,PH,,
120025,,MASANTOL,ORANI,2432,province,PH,,
120026,,MASANTOL,ORANI,2433,province,PH,,
120027,,MASANTOL,ORANI,2434,province,PH,,
120028,,MASANTOL,ORANI,2435,province,PH,,
120029,,MASANTOL,ORANI,2436,province,PH,,
120030,,MASANTOL,ORANI,2437,province,PH,,
120031,,MASANTOL,ORANI,2438,province,PH,,
120032,,MASANTOL,ORANI,2439,province,PH,,
120033,,MASANTOL,ORANI,2440,province,PH,,
120034,,MASANTOL,ORANI,2441,province,PH,,
120035,,MASANTOL,ORANI,2442,province,PH,,
120036,,MASANTOL,ORANI,2443,province,PH,,
